Key,English,German,Swedish,Lithuanian,Latvian
Locked,Locked,Gesperrt,Låst,Užrakinta,Aizslēgts
DiabetesAnamnesis,Diabetes Anamnesis,Diabetes Anamnesis,Diabetesanames,Diabeto anamnezė,Cukura diabēts
ShowcaseRoom,Showcase Room,Zimmer präsentieren,Utställningsrum,Parodos kambarys,Vitrīna
RecordedShiftChange,Recorded Shift Change,Aufzeichnungsveränderung,Inspelad skiftändring,Įrašytas poslinkio pokytis,Reģistrētās maiņas izmaiņas
ShiftChange,Shift Change,Schichtwechsel,Skiftförändring,Pamainos pokytis,Pārmaiņas
WaitingRoom,Waiting Room,Wartezimmer,Väntrum,Laukiamasis,Uzgaidāmā telpa
ExaminationRoom,Examination Room,Untersuchungsraum,Undersökningsrum,Egzaminų kambarys,Eksaminācijas zāle
TaskMRDT,TaskMRDT is a very cool task that will help you elevate your soft skills in an immersive environment,"TaskMrdt ist eine sehr coole Aufgabe, mit der Sie Ihre Soft Skills in einer immersiven Umgebung verbessern können",TaskMrdt är en väldigt cool uppgift som hjälper dig att höja dina mjuka färdigheter i en uppslukande miljö,"„TaskMRDT“ yra labai šauni užduotis, kuri padės jums padidinti minkštus įgūdžius svaiginančioje aplinkoje","TaskMRDT ir ļoti foršs uzdevums, kas palīdzēs paaugstināt savas mīkstās prasmes ieskaujošā vidē"
TaskAnamnesis,Task Anamnesis,Aufgabe Anamnesis,Uppgiftsanames,Užduoties anamnezė,Anamnēze
TaskA1,TaskA1 is a very cool task that will help you elevate your soft skills in an immersive environment,"Taska1 ist eine sehr coole Aufgabe, mit der Sie Ihre Soft Skills in einer immersiven Umgebung verbessern können",Taska1 är en mycket cool uppgift som hjälper dig att höja dina mjuka färdigheter i en uppslukande miljö,"„Taska1“ yra labai šauni užduotis, padedanti jums padidinti minkštus įgūdžius svaiginančioje aplinkoje","Tasta1 ir ļoti foršs uzdevums, kas palīdzēs jums paaugstināt savas mīkstās prasmes ieskaujošā vidē"
